"hid","wave","region4","hhsize_reported","response_status","household_origin","move_event_flag","hh_xs_weight"
"H0057",2019,"west",1,"interviewed","baseline",0,109.434119
"H0058",2019,"west",4,"interviewed","baseline",0,76.445395
"H0059",2019,"east",2,"interviewed","baseline",0,93.818213
"H0060",2019,"west",2,"interviewed","baseline",0,82.590738
"H0001",2020,"west",4,"interviewed","baseline",0,97.719104
"H0002",2020,"east",1,"interviewed","baseline",0,66.503452
"H0003",2020,"north",2,"interviewed","baseline",0,61.156939
"H0004",2020,"north",3,"interviewed","baseline",0,66.280512
"H0005",2020,"north",2,"interviewed","baseline",0,82.102974
"H0006",2020,"north",1,"interviewed","baseline",0,108.001009
"H0007",2020,"north",1,"interviewed","baseline",0,78.697375
"H0008",2020,"north",4,"interviewed","baseline",0,67.819414
"H0009",2020,"west",4,"interviewed","baseline",0,70.136178
"H0010",2020,"east",4,"interviewed","baseline",0,70.156959
"H0011",2020,"east",2,"interviewed","baseline",0,72.470124
"H0012",2020,"east",2,"interviewed","baseline",0,63.613054
"H0013",2020,"south",3,"interviewed","baseline",0,113.329313
"H0014",2020,"west",2,"interviewed","baseline",0,86.498258
"H0015",2020,"south",1,"interviewed","baseline",0,104.282812
"H0016",2020,"north",1,"interviewed","baseline",0,109.8039
"H0017",2020,"south",2,"interviewed","baseline",0,110.887458
"H0018",2020,"east",1,"interviewed","baseline",0,63.938774
"H0019",2020,"south",4,"interviewed","baseline",0,77.635476
"H0020",2020,"east",2,"interviewed","baseline",0,67.049636
"H0021",2020,"east",1,"interviewed","baseline",0,65.059696
"H0022",2020,"north",3,"interviewed","baseline",0,73.855058
"H0023",2020,"north",2,"interviewed","baseline",0,82.273305
"H0024",2020,"east",2,"interviewed","baseline",0,113.453327
"H0025",2020,"south",1,"interviewed","baseline",0,97.418151
"H0026",2020,"west",2,"interviewed","baseline",0,65.973613
"H0027",2020,"east",1,"interviewed","baseline",0,72.412941
"H0028",2020,"west",2,"interviewed","baseline",0,61.243512
"H0029",2020,"south",2,"interviewed","baseline",0,78.2867
"H0030",2020,"south",2,"interviewed","baseline",0,67.750328
"H0031",2020,"east",1,"interviewed","baseline",0,64.921202
"H0032",2020,"west",2,"interviewed","baseline",0,77.304198
"H0033",2020,"south",1,"interviewed","baseline",0,91.266126
"H0034",2020,"north",4,"interviewed","baseline",0,75.864586
"H0035",2020,"north",2,"interviewed","baseline",0,79.215514
"H0036",2020,"south",4,"interviewed","baseline",0,80.59469
"H0037",2020,"east",1,"interviewed","baseline",0,86.914963
"H0038",2020,"east",4,"interviewed","baseline",0,103.964656
"H0039",2020,"east",1,"interviewed","baseline",0,77.534618
"H0040",2020,"south",2,"interviewed","baseline",0,99.928419
"H0041",2020,"west",2,"interviewed","baseline",0,107.181236
"H0042",2020,"west",1,"interviewed","baseline",0,63.442251
"H0043",2020,"south",1,"interviewed","baseline",0,69.152001
"H0044",2020,"north",1,"interviewed","baseline",0,84.821019
"H0045",2020,"north",2,"interviewed","baseline",0,99.879827
"H0046",2020,"west",1,"interviewed","baseline",0,93.594075
"H0047",2020,"west",2,"interviewed","baseline",0,86.632804
"H0048",2020,"east",2,"interviewed","baseline",0,109.933533
"H0049",2020,"west",1,"interviewed","baseline",0,92.923679
"H0050",2020,"north",2,"interviewed","baseline",0,78.009237
"H0051",2020,"west",3,"interviewed","baseline",0,61.434291
"H0052",2020,"west",1,"interviewed","baseline",0,69.868356
"H0053",2020,"west",2,"interviewed","baseline",0,63.441261
"H0054",2020,"south",1,"interviewed","baseline",0,74.520924
"H0055",2020,"east",2,"interviewed","baseline",0,92.598263
"H0056",2020,"north",3,"interviewed","baseline",0,60.806472
"H0057",2020,"west",1,"interviewed","baseline",0,107.637146
"H0058",2020,"west",3,"interviewed","baseline",0,75.190116
"H0059",2020,"east",2,"interviewed","baseline",0,92.277662
"H0060",2020,"west",2,"interviewed","baseline",0,81.234549
"H0073",2020,"south",1,"interviewed","split_off",1,82.102974
"H0001",2021,"west",4,"interviewed","baseline",0,86.35587
"H0002",2021,"east",1,"interviewed","baseline",0,58.77012
"H0003",2021,"north",2,"interviewed","baseline",0,54.045324
"H0004",2021,"north",3,"interviewed","baseline",0,58.573104
"H0005",2021,"north",2,"interviewed","baseline",0,72.555656
"H0006",2021,"north",1,"interviewed","baseline",0,95.442147
"H0007",2021,"north",1,"interviewed","baseline",0,69.546076
"H0008",2021,"north",4,"interviewed","baseline",0,59.933055
"H0009",2021,"west",4,"interviewed","baseline",0,61.980416
"H0010",2021,"east",3,"interviewed","baseline",0,61.99878
"H0011",2021,"east",2,"interviewed","baseline",0,64.042959
"H0012",2021,"east",2,"interviewed","baseline",0,56.215831
"H0013",2021,"south",3,"interviewed","baseline",0,100.150851
"H0014",2021,"west",2,"interviewed","baseline",0,76.439836
"H0015",2021,"south",1,"interviewed","baseline",0,92.156319
"H0016",2021,"north",1,"interviewed","baseline",0,97.035389
"H0017",2021,"south",1,"interviewed","baseline",0,97.992946
"H0018",2021,"east",1,"interviewed","baseline",0,56.503674
"H0019",2021,"south",4,"interviewed","baseline",0,68.607659
"H0020",2021,"east",2,"interviewed","baseline",0,59.252791
"H0021",2021,"east",1,"interviewed","baseline",0,57.49425
"H0022",2021,"north",3,"interviewed","baseline",0,65.266847
"H0023",2021,"north",2,"interviewed","baseline",0,72.70618
"H0024",2021,"east",2,"interviewed","baseline",0,100.260443
"H0026",2021,"west",2,"interviewed","baseline",0,58.301893
"H0027",2021,"east",1,"interviewed","baseline",0,63.992425
"H0028",2021,"west",1,"interviewed","baseline",0,54.12183
"H0029",2021,"south",2,"interviewed","baseline",0,69.183157
"H0030",2021,"south",2,"interviewed","baseline",0,59.872003
"H0031",2021,"east",1,"interviewed","baseline",0,57.371861
"H0032",2021,"west",2,"interviewed","baseline",0,68.314904
"H0033",2021,"south",1,"interviewed","baseline",0,80.653274
"H0034",2021,"north",4,"interviewed","baseline",0,67.042697
"H0035",2021,"north",1,"interviewed","baseline",0,70.003964
"H0036",2021,"south",4,"interviewed","baseline",0,71.222763
"H0038",2021,"east",3,"interviewed","baseline",0,91.875159
"H0039",2021,"east",1,"interviewed","baseline",0,68.51853
"H0041",2021,"west",2,"interviewed","baseline",0,94.717701
"H0042",2021,"west",1,"interviewed","baseline",0,56.064889
"H0044",2021,"north",1,"interviewed","baseline",0,74.957634
"H0045",2021,"north",2,"interviewed","baseline",0,88.265334
"H0046",2021,"west",1,"interviewed","baseline",0,82.710518
"H0047",2021,"west",2,"interviewed","baseline",0,76.558736
"H0048",2021,"east",2,"interviewed","baseline",0,97.149947
"H0049",2021,"west",1,"interviewed","baseline",0,82.118079
"H0050",2021,"north",2,"interviewed","baseline",0,68.937958
"H0051",2021,"west",3,"interviewed","baseline",0,54.290424
"H0052",2021,"west",1,"interviewed","baseline",0,61.743737
"H0053",2021,"west",2,"interviewed","baseline",0,56.064015
"H0054",2021,"south",1,"interviewed","baseline",0,65.855282
"H0055",2021,"east",2,"interviewed","baseline",0,81.830504
"H0056",2021,"north",3,"interviewed","baseline",0,53.735611
"H0057",2021,"west",1,"interviewed","baseline",0,95.120595
"H0058",2021,"west",3,"interviewed","baseline",0,66.446658
"H0059",2021,"east",2,"interviewed","baseline",0,81.547184
"H0060",2021,"west",1,"interviewed","baseline",0,71.788216
"H0061",2021,"south",4,"interviewed","refreshment",0,55.676299
"H0062",2021,"west",2,"interviewed","refreshment",0,90.998932
"H0063",2021,"north",1,"interviewed","refreshment",0,73.094874
"H0064",2021,"west",2,"interviewed","refreshment",0,78.013889
"H0065",2021,"south",1,"interviewed","refreshment",0,63.711573
"H0066",2021,"east",2,"interviewed","refreshment",0,54.949043
"H0067",2021,"west",3,"interviewed","refreshment",0,78.10795
"H0068",2021,"north",4,"interviewed","refreshment",0,71.479681
"H0069",2021,"south",2,"interviewed","refreshment",0,55.769064
"H0070",2021,"east",2,"interviewed","refreshment",0,59.693155
"H0071",2021,"west",1,"interviewed","refreshment",0,90.678178
"H0072",2021,"north",1,"interviewed","refreshment",0,59.568923
"H0073",2021,"south",1,"interviewed","split_off",0,72.555656
"H0074",2021,"east",1,"interviewed","split_off",1,61.99878
"H0001",2022,"west",4,"interviewed","baseline",0,83.095907
"H0002",2022,"east",1,"interviewed","baseline",0,56.551528
"H0003",2022,"north",2,"interviewed","baseline",0,52.005095
"H0004",2022,"north",3,"interviewed","baseline",0,56.36195
"H0005",2022,"north",2,"interviewed","baseline",0,69.816656
"H0006",2022,"north",1,"interviewed","baseline",0,91.839174
"H0007",2022,"north",1,"interviewed","baseline",0,66.920689
"H0008",2022,"north",3,"interviewed","baseline",0,57.670562
"H0009",2022,"west",2,"interviewed","baseline",0,59.640634
"H0010",2022,"east",3,"interviewed","baseline",0,59.658305
"H0011",2022,"east",1,"interviewed","baseline",0,61.625316
"H0012",2022,"east",1,"interviewed","baseline",0,54.093665
"H0013",2022,"south",2,"interviewed","baseline",0,96.370123
"H0014",2022,"west",2,"interviewed","baseline",0,73.554207
"H0015",2022,"south",1,"interviewed","baseline",0,88.677387
"H0016",2022,"north",1,"interviewed","baseline",0,93.372271
"H0017",2022,"south",1,"interviewed","baseline",0,94.293679
"H0018",2022,"east",1,"interviewed","baseline",0,54.370642
"H0019",2022,"south",4,"interviewed","baseline",0,66.017697
"H0020",2022,"east",2,"interviewed","baseline",0,57.015978
"H0021",2022,"east",1,"interviewed","baseline",0,55.323823
"H0022",2022,"north",3,"interviewed","baseline",0,62.803001
"H0023",2022,"north",2,"interviewed","baseline",0,69.961498
"H0024",2022,"east",2,"interviewed","baseline",0,96.475578
"H0026",2022,"west",2,"interviewed","baseline",0,56.100977
"H0027",2022,"east",1,"interviewed","baseline",0,61.57669
"H0028",2022,"west",1,"interviewed","baseline",0,52.078713
"H0029",2022,"south",2,"interviewed","baseline",0,66.57147
"H0030",2022,"south",2,"interviewed","baseline",0,57.611815
"H0031",2022,"east",1,"interviewed","baseline",0,55.206054
"H0032",2022,"west",2,"interviewed","baseline",0,65.735994
"H0033",2022,"south",1,"interviewed","baseline",0,77.608587
"H0034",2022,"north",3,"interviewed","baseline",0,64.511813
"H0035",2022,"north",1,"interviewed","baseline",0,67.361291
"H0036",2022,"south",1,"interviewed","baseline",0,68.53408
"H0038",2022,"east",3,"interviewed","baseline",0,88.406842
"H0039",2022,"east",1,"interviewed","baseline",0,65.931933
"H0041",2022,"west",2,"interviewed","baseline",0,91.142076
"H0042",2022,"west",1,"interviewed","baseline",0,53.948421
"H0044",2022,"north",1,"interviewed","baseline",0,72.127958
"H0045",2022,"north",2,"interviewed","baseline",0,84.933288
"H0047",2022,"west",1,"interviewed","baseline",0,73.668619
"H0048",2022,"east",2,"interviewed","baseline",0,93.482504
"H0049",2022,"west",1,"interviewed","baseline",0,79.018094
"H0050",2022,"north",2,"interviewed","baseline",0,66.335527
"H0051",2022,"west",3,"interviewed","baseline",0,52.240943
"H0053",2022,"west",2,"interviewed","baseline",0,53.94758
"H0054",2022,"south",1,"interviewed","baseline",0,63.369223
"H0055",2022,"east",2,"interviewed","baseline",0,78.741375
"H0056",2022,"north",3,"interviewed","baseline",0,51.707074
"H0057",2022,"west",1,"interviewed","baseline",0,91.529761
"H0058",2022,"west",2,"interviewed","baseline",0,63.938275
"H0059",2022,"east",2,"interviewed","baseline",0,78.468751
"H0060",2022,"west",1,"interviewed","baseline",0,69.078187
"H0061",2022,"south",3,"interviewed","refreshment",0,53.5745
"H0062",2022,"west",1,"interviewed","refreshment",0,87.563692
"H0063",2022,"north",1,"interviewed","refreshment",0,70.335519
"H0064",2022,"west",2,"interviewed","refreshment",0,75.068839
"H0065",2022,"south",1,"interviewed","refreshment",0,61.30644
"H0066",2022,"east",2,"interviewed","refreshment",0,52.874699
"H0067",2022,"west",3,"interviewed","refreshment",0,75.159349
"H0068",2022,"north",3,"interviewed","refreshment",0,68.7813
"H0069",2022,"south",2,"interviewed","refreshment",0,53.663763
"H0070",2022,"east",1,"interviewed","refreshment",0,57.439718
"H0071",2022,"west",1,"interviewed","refreshment",0,87.255047
"H0072",2022,"north",1,"interviewed","refreshment",0,57.320176
"H0073",2022,"south",1,"interviewed","split_off",0,69.816656
"H0074",2022,"east",1,"interviewed","split_off",0,59.658305
"H0075",2022,"north",1,"interviewed","split_off",1,61.625316
"H0076",2022,"south",1,"interviewed","split_off",1,64.511813
"H0077",2022,"west",1,"interviewed","split_off",1,68.53408
"H0078",2022,"east",1,"interviewed","split_off",1,73.668619
"H0079",2022,"east",1,"interviewed","split_off",1,59.41289
