"pid","wave","item_id","value","answer_status","missing_code","source_mode","answered"
"P000010",2019,"INC",,"not_applicable","not_applicable","web",0
"P000010",2019,"LSAT","6","answered",,"web",1
"P000010",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000011",2019,"EMP","education","answered",,"web",1
"P000011",2019,"INC",,"not_applicable","not_applicable","web",0
"P000011",2019,"LSAT","7","answered",,"web",1
"P000011",2019,"TRN","9","answered",,"web",1
"P000012",2019,"EMP","employed","answered",,"web",1
"P000012",2019,"INC","1820","answered",,"web",1
"P000012",2019,"LSAT","7","answered",,"web",1
"P000012",2019,"TRN","3","answered",,"web",1
"P000013",2019,"EMP","not_in_labor_force","answered",,"web",1
"P000013",2019,"INC",,"not_applicable","not_applicable","web",0
"P000013",2019,"LSAT","6","answered",,"web",1
"P000013",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000014",2019,"EMP","unemployed","answered",,"phone",1
"P000014",2019,"INC",,"not_applicable","not_applicable","phone",0
"P000014",2019,"LSAT","6","answered",,"phone",1
"P000014",2019,"TRN",,"not_applicable","not_applicable","phone",0
"P000015",2019,"EMP","retired","answered",,"paper",1
"P000015",2019,"INC",,"not_applicable","not_applicable","paper",0
"P000015",2019,"LSAT","6","answered",,"paper",1
"P000015",2019,"TRN",,"not_applicable","not_applicable","paper",0
"P000016",2019,"EMP","education","answered",,"phone",1
"P000016",2019,"INC",,"not_applicable","not_applicable","phone",0
"P000016",2019,"LSAT","6","answered",,"phone",1
"P000016",2019,"TRN","10","answered",,"phone",1
"P000017",2019,"EMP","retired","answered",,"web",1
"P000017",2019,"INC",,"not_applicable","not_applicable","web",0
"P000017",2019,"LSAT","6","answered",,"web",1
"P000017",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000018",2019,"EMP","unemployed","answered",,"phone",1
"P000018",2019,"INC",,"not_applicable","not_applicable","phone",0
"P000018",2019,"LSAT","6","answered",,"phone",1
"P000018",2019,"TRN",,"not_applicable","not_applicable","phone",0
"P000019",2019,"EMP","retired","answered",,"web",1
"P000019",2019,"INC",,"not_applicable","not_applicable","web",0
"P000019",2019,"LSAT","6","answered",,"web",1
"P000019",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000020",2019,"EMP","education","answered",,"web",1
"P000020",2019,"INC",,"not_applicable","not_applicable","web",0
"P000020",2019,"LSAT","7","answered",,"web",1
"P000020",2019,"TRN","9","answered",,"web",1
"P000021",2019,"EMP","retired","answered",,"phone",1
"P000021",2019,"INC",,"not_applicable","not_applicable","phone",0
"P000021",2019,"LSAT","7","answered",,"phone",1
"P000021",2019,"TRN",,"not_applicable","not_applicable","phone",0
"P000022",2019,"EMP","employed","answered",,"web",1
"P000022",2019,"INC","2610","answered",,"web",1
"P000022",2019,"LSAT","7","answered",,"web",1
"P000022",2019,"TRN","7","answered",,"web",1
"P000023",2019,"EMP","employed","answered",,"web",1
"P000023",2019,"INC","1680","answered",,"web",1
"P000023",2019,"LSAT","7","answered",,"web",1
"P000023",2019,"TRN","4","answered",,"web",1
"P000024",2019,"EMP","unemployed","answered",,"web",1
"P000024",2019,"INC",,"not_applicable","not_applicable","web",0
"P000024",2019,"LSAT","6","answered",,"web",1
"P000024",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000025",2019,"EMP","unemployed","answered",,"web",1
"P000025",2019,"INC",,"not_applicable","not_applicable","web",0
"P000025",2019,"LSAT","6","answered",,"web",1
"P000025",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000026",2019,"EMP","retired","answered",,"phone",1
"P000026",2019,"INC",,"not_applicable","not_applicable","phone",0
"P000026",2019,"LSAT","6","answered",,"phone",1
"P000026",2019,"TRN",,"not_applicable","not_applicable","phone",0
"P000027",2019,"EMP","employed","answered",,"web",1
"P000027",2019,"INC","1720","answered",,"web",1
"P000027",2019,"LSAT","7","answered",,"web",1
"P000027",2019,"TRN","8","answered",,"web",1
"P000028",2019,"EMP","employed","answered",,"web",1
"P000028",2019,"INC","1930","answered",,"web",1
"P000028",2019,"LSAT","6","answered",,"web",1
"P000028",2019,"TRN","5","answered",,"web",1
"P000029",2019,"EMP","employed","answered",,"web",1
"P000029",2019,"INC","4670","answered",,"web",1
"P000029",2019,"LSAT","7","answered",,"web",1
"P000029",2019,"TRN","7","answered",,"web",1
"P000030",2019,"EMP","unemployed","answered",,"phone",1
"P000030",2019,"INC",,"not_applicable","not_applicable","phone",0
"P000030",2019,"LSAT","6","answered",,"phone",1
"P000030",2019,"TRN",,"not_applicable","not_applicable","phone",0
"P000031",2019,"EMP","unemployed","answered",,"web",1
"P000031",2019,"INC",,"not_applicable","not_applicable","web",0
"P000031",2019,"LSAT","5","answered",,"web",1
"P000031",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000032",2019,"EMP","unemployed","answered",,"paper",1
"P000032",2019,"INC",,"not_applicable","not_applicable","paper",0
"P000032",2019,"LSAT","6","answered",,"paper",1
"P000032",2019,"TRN",,"not_applicable","not_applicable","paper",0
"P000033",2019,"EMP","unemployed","answered",,"web",1
"P000033",2019,"INC",,"not_applicable","not_applicable","web",0
"P000033",2019,"LSAT","6","answered",,"web",1
"P000033",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000034",2019,"EMP","not_in_labor_force","answered",,"web",1
"P000034",2019,"INC",,"not_applicable","not_applicable","web",0
"P000034",2019,"LSAT","6","answered",,"web",1
"P000034",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000035",2019,"EMP","not_in_labor_force","answered",,"web",1
"P000035",2019,"INC",,"not_applicable","not_applicable","web",0
"P000035",2019,"LSAT","7","answered",,"web",1
"P000035",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000036",2019,"EMP","not_in_labor_force","answered",,"web",1
"P000036",2019,"INC",,"not_applicable","not_applicable","web",0
"P000036",2019,"LSAT","6","answered",,"web",1
"P000036",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000037",2019,"EMP","employed","answered",,"web",1
"P000037",2019,"INC","1180","answered",,"web",1
"P000037",2019,"LSAT","7","answered",,"web",1
"P000037",2019,"TRN","3","answered",,"web",1
"P000038",2019,"EMP","employed","answered",,"web",1
"P000038",2019,"INC","2660","answered",,"web",1
"P000038",2019,"LSAT","7","answered",,"web",1
"P000038",2019,"TRN","5","answered",,"web",1
"P000039",2019,"EMP","employed","answered",,"web",1
"P000039",2019,"INC","1860","answered",,"web",1
"P000039",2019,"LSAT","7","answered",,"web",1
"P000039",2019,"TRN","5","answered",,"web",1
"P000040",2019,"EMP","employed","answered",,"web",1
"P000040",2019,"INC",,"no_answer","no_answer","web",0
"P000040",2019,"LSAT","6","answered",,"web",1
"P000040",2019,"TRN",,"no_answer","no_answer","web",0
"P000041",2019,"EMP","retired","answered",,"phone",1
"P000041",2019,"INC",,"not_applicable","not_applicable","phone",0
"P000041",2019,"LSAT","6","answered",,"phone",1
"P000041",2019,"TRN",,"not_applicable","not_applicable","phone",0
"P000042",2019,"EMP","not_in_labor_force","answered",,"phone",1
"P000042",2019,"INC",,"not_applicable","not_applicable","phone",0
"P000042",2019,"LSAT","7","answered",,"phone",1
"P000042",2019,"TRN",,"not_applicable","not_applicable","phone",0
"P000043",2019,"EMP","employed","answered",,"web",1
"P000043",2019,"INC","3090","answered",,"web",1
"P000043",2019,"LSAT","7","answered",,"web",1
"P000043",2019,"TRN","6","answered",,"web",1
"P000044",2019,"EMP","education","answered",,"phone",1
"P000044",2019,"INC",,"not_applicable","not_applicable","phone",0
"P000044",2019,"LSAT","5","answered",,"phone",1
"P000044",2019,"TRN","8","answered",,"phone",1
"P000045",2019,"EMP","retired","answered",,"web",1
"P000045",2019,"INC",,"not_applicable","not_applicable","web",0
"P000045",2019,"LSAT","7","answered",,"web",1
"P000045",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000046",2019,"EMP","employed","answered",,"web",1
"P000046",2019,"INC","2090","answered",,"web",1
"P000046",2019,"LSAT","7","answered",,"web",1
"P000046",2019,"TRN","6","answered",,"web",1
"P000047",2019,"EMP","retired","answered",,"web",1
"P000047",2019,"INC",,"not_applicable","not_applicable","web",0
"P000047",2019,"LSAT","6","answered",,"web",1
"P000047",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000048",2019,"EMP","employed","answered",,"phone",1
"P000048",2019,"INC","3020","answered",,"phone",1
"P000048",2019,"LSAT","8","answered",,"phone",1
"P000048",2019,"TRN","3","answered",,"phone",1
"P000049",2019,"EMP","not_in_labor_force","answered",,"web",1
"P000049",2019,"INC",,"not_applicable","not_applicable","web",0
"P000049",2019,"LSAT","6","answered",,"web",1
"P000049",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000050",2019,"EMP","retired","answered",,"paper",1
"P000050",2019,"INC",,"not_applicable","not_applicable","paper",0
"P000050",2019,"LSAT","5","answered",,"paper",1
"P000050",2019,"TRN",,"not_applicable","not_applicable","paper",0
"P000051",2019,"EMP","unemployed","answered",,"phone",1
"P000051",2019,"INC",,"not_applicable","not_applicable","phone",0
"P000051",2019,"LSAT",,"no_answer","no_answer","phone",0
"P000051",2019,"TRN",,"not_applicable","not_applicable","phone",0
"P000052",2019,"EMP","employed","answered",,"web",1
"P000052",2019,"INC","760","answered",,"web",1
"P000052",2019,"LSAT","6","answered",,"web",1
"P000052",2019,"TRN","4","answered",,"web",1
"P000053",2019,"EMP","employed","answered",,"phone",1
"P000053",2019,"INC","2200","answered",,"phone",1
"P000053",2019,"LSAT","7","answered",,"phone",1
"P000053",2019,"TRN","2","answered",,"phone",1
"P000054",2019,"EMP","employed","answered",,"web",1
"P000054",2019,"INC","860","answered",,"web",1
"P000054",2019,"LSAT","6","answered",,"web",1
"P000054",2019,"TRN","7","answered",,"web",1
"P000055",2019,"EMP","employed","answered",,"web",1
"P000055",2019,"INC",,"no_answer","no_answer","web",0
"P000055",2019,"LSAT","7","answered",,"web",1
"P000055",2019,"TRN","6","answered",,"web",1
"P000056",2019,"EMP","employed","answered",,"phone",1
"P000056",2019,"INC","1530","answered",,"phone",1
"P000056",2019,"LSAT","6","answered",,"phone",1
"P000056",2019,"TRN","7","answered",,"phone",1
"P000057",2019,"EMP","not_in_labor_force","answered",,"web",1
"P000057",2019,"INC",,"not_applicable","not_applicable","web",0
"P000057",2019,"LSAT","7","answered",,"web",1
"P000057",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000058",2019,"EMP","employed","answered",,"phone",1
"P000058",2019,"INC","2250","answered",,"phone",1
"P000058",2019,"LSAT","7","answered",,"phone",1
"P000058",2019,"TRN","7","answered",,"phone",1
"P000059",2019,"EMP","retired","answered",,"web",1
"P000059",2019,"INC",,"not_applicable","not_applicable","web",0
"P000059",2019,"LSAT","6","answered",,"web",1
"P000059",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000060",2019,"EMP","employed","answered",,"phone",1
"P000060",2019,"INC","690","answered",,"phone",1
"P000060",2019,"LSAT","6","answered",,"phone",1
"P000060",2019,"TRN","5","answered",,"phone",1
"P000061",2019,"EMP","not_in_labor_force","answered",,"web",1
"P000061",2019,"INC",,"not_applicable","not_applicable","web",0
"P000061",2019,"LSAT","6","answered",,"web",1
"P000061",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000062",2019,"EMP","education","answered",,"web",1
"P000062",2019,"INC",,"not_applicable","not_applicable","web",0
"P000062",2019,"LSAT","6","answered",,"web",1
"P000062",2019,"TRN","7","answered",,"web",1
"P000063",2019,"EMP","education","answered",,"phone",1
"P000063",2019,"INC",,"not_applicable","not_applicable","phone",0
"P000063",2019,"LSAT","6","answered",,"phone",1
"P000063",2019,"TRN","6","answered",,"phone",1
"P000064",2019,"EMP","employed","answered",,"phone",1
"P000064",2019,"INC","2180","answered",,"phone",1
"P000064",2019,"LSAT","7","answered",,"phone",1
"P000064",2019,"TRN","6","answered",,"phone",1
"P000065",2019,"EMP","unemployed","answered",,"web",1
"P000065",2019,"INC",,"not_applicable","not_applicable","web",0
"P000065",2019,"LSAT","6","answered",,"web",1
"P000065",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000066",2019,"EMP","employed","answered",,"web",1
"P000066",2019,"INC","2600","answered",,"web",1
"P000066",2019,"LSAT","7","answered",,"web",1
"P000066",2019,"TRN","4","answered",,"web",1
"P000067",2019,"EMP","not_in_labor_force","answered",,"web",1
"P000067",2019,"INC",,"not_applicable","not_applicable","web",0
"P000067",2019,"LSAT","7","answered",,"web",1
"P000067",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000068",2019,"EMP","not_in_labor_force","answered",,"web",1
"P000068",2019,"INC",,"not_applicable","not_applicable","web",0
"P000068",2019,"LSAT","6","answered",,"web",1
"P000068",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000069",2019,"EMP","employed","answered",,"web",1
"P000069",2019,"INC","2000","answered",,"web",1
"P000069",2019,"LSAT","7","answered",,"web",1
"P000069",2019,"TRN","3","answered",,"web",1
"P000070",2019,"EMP","employed","answered",,"web",1
"P000070",2019,"INC","3710","answered",,"web",1
"P000070",2019,"LSAT","7","answered",,"web",1
"P000070",2019,"TRN","4","answered",,"web",1
"P000071",2019,"EMP","retired","answered",,"web",1
"P000071",2019,"INC",,"not_applicable","not_applicable","web",0
"P000071",2019,"LSAT","6","answered",,"web",1
"P000071",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000072",2019,"EMP","retired","answered",,"web",1
"P000072",2019,"INC",,"not_applicable","not_applicable","web",0
"P000072",2019,"LSAT","6","answered",,"web",1
"P000072",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000073",2019,"EMP","retired","answered",,"phone",1
"P000073",2019,"INC",,"not_applicable","not_applicable","phone",0
"P000073",2019,"LSAT","7","answered",,"phone",1
"P000073",2019,"TRN",,"not_applicable","not_applicable","phone",0
"P000074",2019,"EMP","employed","answered",,"phone",1
"P000074",2019,"INC",,"no_answer","no_answer","phone",0
"P000074",2019,"LSAT","6","answered",,"phone",1
"P000074",2019,"TRN","3","answered",,"phone",1
"P000075",2019,"EMP","employed","answered",,"web",1
"P000075",2019,"INC","3910","answered",,"web",1
"P000075",2019,"LSAT","7","answered",,"web",1
"P000075",2019,"TRN","4","answered",,"web",1
"P000076",2019,"EMP","retired","answered",,"web",1
"P000076",2019,"INC",,"not_applicable","not_applicable","web",0
"P000076",2019,"LSAT","7","answered",,"web",1
"P000076",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000077",2019,"EMP","employed","answered",,"web",1
"P000077",2019,"INC","2980","answered",,"web",1
"P000077",2019,"LSAT","7","answered",,"web",1
"P000077",2019,"TRN","9","answered",,"web",1
"P000078",2019,"EMP","retired","answered",,"phone",1
"P000078",2019,"INC",,"not_applicable","not_applicable","phone",0
"P000078",2019,"LSAT","6","answered",,"phone",1
"P000078",2019,"TRN",,"not_applicable","not_applicable","phone",0
"P000079",2019,"EMP","retired","answered",,"web",1
"P000079",2019,"INC",,"not_applicable","not_applicable","web",0
"P000079",2019,"LSAT","6","answered",,"web",1
"P000079",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000080",2019,"EMP","employed","answered",,"phone",1
"P000080",2019,"INC","1220","answered",,"phone",1
"P000080",2019,"LSAT","7","answered",,"phone",1
"P000080",2019,"TRN","9","answered",,"phone",1
"P000081",2019,"EMP","retired","answered",,"web",1
"P000081",2019,"INC",,"not_applicable","not_applicable","web",0
"P000081",2019,"LSAT","6","answered",,"web",1
"P000081",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000082",2019,"EMP","unemployed","answered",,"web",1
"P000082",2019,"INC",,"not_applicable","not_applicable","web",0
"P000082",2019,"LSAT","6","answered",,"web",1
"P000082",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000083",2019,"EMP","retired","answered",,"web",1
"P000083",2019,"INC",,"not_applicable","not_applicable","web",0
"P000083",2019,"LSAT","6","answered",,"web",1
"P000083",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000084",2019,"EMP","employed","answered",,"paper",1
"P000084",2019,"INC","3930","answered",,"paper",1
"P000084",2019,"LSAT","7","answered",,"paper",1
"P000084",2019,"TRN","4","answered",,"paper",1
"P000085",2019,"EMP","employed","answered",,"web",1
"P000085",2019,"INC","2060","answered",,"web",1
"P000085",2019,"LSAT","7","answered",,"web",1
"P000085",2019,"TRN","5","answered",,"web",1
"P000086",2019,"EMP","employed","answered",,"web",1
"P000086",2019,"INC","1890","answered",,"web",1
"P000086",2019,"LSAT","7","answered",,"web",1
"P000086",2019,"TRN","6","answered",,"web",1
"P000087",2019,"EMP","employed","answered",,"web",1
"P000087",2019,"INC","2550","answered",,"web",1
"P000087",2019,"LSAT","6","answered",,"web",1
"P000087",2019,"TRN","2","answered",,"web",1
"P000088",2019,"EMP","employed","answered",,"web",1
"P000088",2019,"INC","1950","answered",,"web",1
"P000088",2019,"LSAT","7","answered",,"web",1
"P000088",2019,"TRN","4","answered",,"web",1
"P000089",2019,"EMP","retired","answered",,"web",1
"P000089",2019,"INC",,"not_applicable","not_applicable","web",0
"P000089",2019,"LSAT","6","answered",,"web",1
"P000089",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000090",2019,"EMP","unemployed","answered",,"web",1
"P000090",2019,"INC",,"not_applicable","not_applicable","web",0
"P000090",2019,"LSAT","6","answered",,"web",1
"P000090",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000091",2019,"EMP","not_in_labor_force","answered",,"phone",1
"P000091",2019,"INC",,"not_applicable","not_applicable","phone",0
"P000091",2019,"LSAT","6","answered",,"phone",1
"P000091",2019,"TRN",,"not_applicable","not_applicable","phone",0
"P000092",2019,"EMP","unemployed","answered",,"web",1
"P000092",2019,"INC",,"not_applicable","not_applicable","web",0
"P000092",2019,"LSAT",,"no_answer","no_answer","web",0
"P000092",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000093",2019,"EMP","retired","answered",,"web",1
"P000093",2019,"INC",,"not_applicable","not_applicable","web",0
"P000093",2019,"LSAT","6","answered",,"web",1
"P000093",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000094",2019,"EMP","retired","answered",,"web",1
"P000094",2019,"INC",,"not_applicable","not_applicable","web",0
"P000094",2019,"LSAT","7","answered",,"web",1
"P000094",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000095",2019,"EMP","employed","answered",,"phone",1
"P000095",2019,"INC","2560","answered",,"phone",1
"P000095",2019,"LSAT","7","answered",,"phone",1
"P000095",2019,"TRN","8","answered",,"phone",1
"P000096",2019,"EMP","employed","answered",,"paper",1
"P000096",2019,"INC","1470","answered",,"paper",1
"P000096",2019,"LSAT","7","answered",,"paper",1
"P000096",2019,"TRN","7","answered",,"paper",1
"P000097",2019,"EMP","unemployed","answered",,"phone",1
"P000097",2019,"INC",,"not_applicable","not_applicable","phone",0
"P000097",2019,"LSAT","6","answered",,"phone",1
"P000097",2019,"TRN",,"not_applicable","not_applicable","phone",0
"P000098",2019,"EMP","employed","answered",,"web",1
"P000098",2019,"INC","2640","answered",,"web",1
"P000098",2019,"LSAT","7","answered",,"web",1
"P000098",2019,"TRN","5","answered",,"web",1
"P000099",2019,"EMP","unemployed","answered",,"web",1
"P000099",2019,"INC",,"not_applicable","not_applicable","web",0
"P000099",2019,"LSAT","7","answered",,"web",1
"P000099",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000100",2019,"EMP","employed","answered",,"paper",1
"P000100",2019,"INC","2420","answered",,"paper",1
"P000100",2019,"LSAT","7","answered",,"paper",1
"P000100",2019,"TRN","2","answered",,"paper",1
"P000101",2019,"EMP","not_in_labor_force","answered",,"phone",1
"P000101",2019,"INC",,"not_applicable","not_applicable","phone",0
"P000101",2019,"LSAT","6","answered",,"phone",1
"P000101",2019,"TRN",,"not_applicable","not_applicable","phone",0
"P000102",2019,"EMP","retired","answered",,"paper",1
"P000102",2019,"INC",,"not_applicable","not_applicable","paper",0
"P000102",2019,"LSAT","6","answered",,"paper",1
"P000102",2019,"TRN",,"not_applicable","not_applicable","paper",0
"P000103",2019,"EMP","employed","answered",,"web",1
"P000103",2019,"INC","1610","answered",,"web",1
"P000103",2019,"LSAT","7","answered",,"web",1
"P000103",2019,"TRN","5","answered",,"web",1
"P000104",2019,"EMP","unemployed","answered",,"phone",1
"P000104",2019,"INC",,"not_applicable","not_applicable","phone",0
"P000104",2019,"LSAT","5","answered",,"phone",1
"P000104",2019,"TRN",,"not_applicable","not_applicable","phone",0
"P000105",2019,"EMP","retired","answered",,"web",1
"P000105",2019,"INC",,"not_applicable","not_applicable","web",0
"P000105",2019,"LSAT","6","answered",,"web",1
"P000105",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000106",2019,"EMP","employed","answered",,"web",1
"P000106",2019,"INC","1600","answered",,"web",1
"P000106",2019,"LSAT","6","answered",,"web",1
"P000106",2019,"TRN","5","answered",,"web",1
"P000107",2019,"EMP","unemployed","answered",,"web",1
"P000107",2019,"INC",,"not_applicable","not_applicable","web",0
"P000107",2019,"LSAT","6","answered",,"web",1
"P000107",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000108",2019,"EMP","retired","answered",,"phone",1
"P000108",2019,"INC",,"not_applicable","not_applicable","phone",0
"P000108",2019,"LSAT","6","answered",,"phone",1
"P000108",2019,"TRN",,"not_applicable","not_applicable","phone",0
"P000109",2019,"EMP","employed","answered",,"web",1
"P000109",2019,"INC","1720","answered",,"web",1
"P000109",2019,"LSAT","7","answered",,"web",1
"P000109",2019,"TRN",,"no_answer","no_answer","web",0
"P000110",2019,"EMP","employed","answered",,"paper",1
"P000110",2019,"INC","5120","answered",,"paper",1
"P000110",2019,"LSAT","7","answered",,"paper",1
"P000110",2019,"TRN","7","answered",,"paper",1
"P000111",2019,"EMP","unemployed","answered",,"phone",1
"P000111",2019,"INC",,"not_applicable","not_applicable","phone",0
"P000111",2019,"LSAT","6","answered",,"phone",1
"P000111",2019,"TRN",,"not_applicable","not_applicable","phone",0
"P000112",2019,"EMP","not_in_labor_force","answered",,"web",1
"P000112",2019,"INC",,"not_applicable","not_applicable","web",0
"P000112",2019,"LSAT","6","answered",,"web",1
"P000112",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000113",2019,"EMP","employed","answered",,"phone",1
"P000113",2019,"INC","4190","answered",,"phone",1
"P000113",2019,"LSAT","7","answered",,"phone",1
"P000113",2019,"TRN","3","answered",,"phone",1
"P000114",2019,"EMP","unemployed","answered",,"paper",1
"P000114",2019,"INC",,"not_applicable","not_applicable","paper",0
"P000114",2019,"LSAT","6","answered",,"paper",1
"P000114",2019,"TRN",,"not_applicable","not_applicable","paper",0
"P000115",2019,"EMP","retired","answered",,"web",1
"P000115",2019,"INC",,"not_applicable","not_applicable","web",0
"P000115",2019,"LSAT","6","answered",,"web",1
"P000115",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000116",2019,"EMP","not_in_labor_force","answered",,"paper",1
"P000116",2019,"INC",,"not_applicable","not_applicable","paper",0
"P000116",2019,"LSAT","7","answered",,"paper",1
"P000116",2019,"TRN",,"not_applicable","not_applicable","paper",0
"P000117",2019,"EMP","employed","answered",,"phone",1
"P000117",2019,"INC","2180","answered",,"phone",1
"P000117",2019,"LSAT","7","answered",,"phone",1
"P000117",2019,"TRN","2","answered",,"phone",1
"P000118",2019,"EMP","employed","answered",,"web",1
"P000118",2019,"INC","1150","answered",,"web",1
"P000118",2019,"LSAT","7","answered",,"web",1
"P000118",2019,"TRN","5","answered",,"web",1
"P000119",2019,"EMP","employed","answered",,"web",1
"P000119",2019,"INC","3660","answered",,"web",1
"P000119",2019,"LSAT","8","answered",,"web",1
"P000119",2019,"TRN","6","answered",,"web",1
"P000120",2019,"EMP","unemployed","answered",,"paper",1
"P000120",2019,"INC",,"not_applicable","not_applicable","paper",0
"P000120",2019,"LSAT","6","answered",,"paper",1
"P000120",2019,"TRN",,"not_applicable","not_applicable","paper",0
"P000121",2019,"EMP","retired","answered",,"phone",1
"P000121",2019,"INC",,"not_applicable","not_applicable","phone",0
"P000121",2019,"LSAT","6","answered",,"phone",1
"P000121",2019,"TRN",,"not_applicable","not_applicable","phone",0
"P000122",2019,"EMP","retired","answered",,"web",1
"P000122",2019,"INC",,"not_applicable","not_applicable","web",0
"P000122",2019,"LSAT","7","answered",,"web",1
"P000122",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000123",2019,"EMP","not_in_labor_force","answered",,"web",1
"P000123",2019,"INC",,"not_applicable","not_applicable","web",0
"P000123",2019,"LSAT","6","answered",,"web",1
"P000123",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000124",2019,"EMP","unemployed","answered",,"web",1
"P000124",2019,"INC",,"not_applicable","not_applicable","web",0
"P000124",2019,"LSAT","6","answered",,"web",1
"P000124",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000125",2019,"EMP","employed","answered",,"phone",1
"P000125",2019,"INC","1390","answered",,"phone",1
"P000125",2019,"LSAT","6","answered",,"phone",1
"P000125",2019,"TRN","5","answered",,"phone",1
"P000126",2019,"EMP","not_in_labor_force","answered",,"phone",1
"P000126",2019,"INC",,"not_applicable","not_applicable","phone",0
"P000126",2019,"LSAT","7","answered",,"phone",1
"P000126",2019,"TRN",,"not_applicable","not_applicable","phone",0
"P000127",2019,"EMP","employed","answered",,"phone",1
"P000127",2019,"INC","2660","answered",,"phone",1
"P000127",2019,"LSAT","7","answered",,"phone",1
"P000127",2019,"TRN","1","answered",,"phone",1
"P000128",2019,"EMP","employed","answered",,"web",1
"P000128",2019,"INC","3170","answered",,"web",1
"P000128",2019,"LSAT","7","answered",,"web",1
"P000128",2019,"TRN","7","answered",,"web",1
"P000129",2019,"EMP","retired","answered",,"web",1
"P000129",2019,"INC",,"not_applicable","not_applicable","web",0
"P000129",2019,"LSAT","7","answered",,"web",1
