"pid","wave","hid","age","employment_status","response_mode","response_status","moved_since_prior_wave","income_raw","income_final","income_imp","income_missing_code","person_xs_weight","long_weight_2019_2022"
"P000084",2019,"H0036",26,"employed","paper","interviewed",0,3930,3930,0,,76.244836,96.997266
"P000085",2019,"H0037",59,"employed","web","interviewed",0,2060,2060,0,,82.223991,
"P000086",2019,"H0038",24,"employed","web","interviewed",0,1890,1890,0,,98.353479,125.123471
"P000087",2019,"H0038",24,"employed","web","interviewed",0,2550,2550,0,,98.353479,
"P000088",2019,"H0038",32,"employed","web","interviewed",0,1950,1950,0,,98.353479,125.123471
"P000089",2019,"H0038",75,"retired","web","interviewed",0,,0,0,"not_applicable",98.353479,125.123471
"P000090",2019,"H0039",44,"unemployed","web","interviewed",0,,0,0,"not_applicable",73.349922,93.31441
"P000091",2019,"H0040",26,"not_in_labor_force","phone","interviewed",0,,0,0,"not_applicable",94.535086,
"P000092",2019,"H0040",66,"unemployed","web","interviewed",0,,0,0,"not_applicable",94.535086,
"P000093",2019,"H0041",72,"retired","web","interviewed",0,,0,0,"not_applicable",101.396454,128.994688
"P000094",2019,"H0041",77,"retired","web","interviewed",0,,0,0,"not_applicable",101.396454,128.994688
"P000095",2019,"H0042",48,"employed","phone","interviewed",0,2560,2560,0,,60.018148,76.353975
"P000096",2019,"H0043",48,"employed","paper","interviewed",0,1470,1470,0,,65.419732,
"P000097",2019,"H0044",29,"unemployed","phone","interviewed",0,,0,0,"not_applicable",80.243061,102.083735
"P000098",2019,"H0045",28,"employed","web","interviewed",0,2640,2640,0,,94.489116,120.207301
"P000099",2019,"H0045",35,"unemployed","web","interviewed",0,,0,0,"not_applicable",94.489116,120.207301
"P000100",2019,"H0046",59,"employed","paper","interviewed",0,2420,2420,0,,88.542618,
"P000101",2019,"H0047",24,"not_in_labor_force","phone","interviewed",0,,0,0,"not_applicable",81.957061,104.264253
"P000102",2019,"H0047",77,"retired","paper","interviewed",0,,0,0,"not_applicable",81.957061,104.264253
"P000103",2019,"H0048",29,"employed","web","interviewed",0,1610,1610,0,,104.000203,132.30713
"P000104",2019,"H0048",52,"unemployed","phone","interviewed",0,,0,0,"not_applicable",104.000203,132.30713
"P000105",2019,"H0049",76,"retired","web","interviewed",0,,0,0,"not_applicable",87.908405,
"P000106",2019,"H0049",63,"employed","web","interviewed",0,1600,1600,0,,87.908405,111.835442
"P000107",2019,"H0050",65,"unemployed","web","interviewed",0,,0,0,"not_applicable",73.798925,93.885623
"P000108",2019,"H0050",75,"retired","phone","interviewed",0,,0,0,"not_applicable",73.798925,93.885623
"P000109",2019,"H0051",26,"employed","web","interviewed",0,1720,1720,0,,58.118561,73.937356
"P000110",2019,"H0051",44,"employed","paper","interviewed",0,5120,5120,0,,58.118561,73.937356
"P000111",2019,"H0051",24,"unemployed","phone","interviewed",0,,0,0,"not_applicable",58.118561,73.937356
"P000112",2019,"H0052",26,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",66.097424,84.087916
"P000113",2019,"H0052",31,"employed","phone","interviewed",0,4190,4190,0,,66.097424,
"P000114",2019,"H0053",41,"unemployed","paper","interviewed",0,,0,0,"not_applicable",60.017212,76.352784
"P000115",2019,"H0053",68,"retired","web","interviewed",0,,0,0,"not_applicable",60.017212,76.352784
"P000116",2019,"H0054",61,"not_in_labor_force","paper","interviewed",0,,0,0,"not_applicable",70.498883,89.687371
"P000117",2019,"H0055",33,"employed","phone","interviewed",0,2180,2180,0,,87.600553,111.443799
"P000118",2019,"H0055",54,"employed","web","interviewed",0,1150,1150,0,,87.600553,111.443799
"P000119",2019,"H0056",39,"employed","web","interviewed",0,3660,3660,0,,57.524627,73.181764
"P000120",2019,"H0056",43,"unemployed","paper","interviewed",0,,0,0,"not_applicable",57.524627,73.181764
"P000121",2019,"H0056",70,"retired","phone","interviewed",0,,0,0,"not_applicable",57.524627,73.181764
"P000122",2019,"H0057",69,"retired","web","interviewed",0,,0,0,"not_applicable",101.827757,129.543384
"P000123",2019,"H0058",40,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",71.131958,
"P000124",2019,"H0058",66,"unemployed","web","interviewed",0,,0,0,"not_applicable",71.131958,90.492757
"P000125",2019,"H0058",25,"employed","phone","interviewed",0,1390,1390,0,,71.131958,
"P000126",2019,"H0058",45,"not_in_labor_force","phone","interviewed",0,,0,0,"not_applicable",71.131958,90.492757
"P000127",2019,"H0059",41,"employed","phone","interviewed",0,2660,2660,0,,87.297255,111.057949
"P000128",2019,"H0059",50,"employed","web","interviewed",0,3170,3170,0,,87.297255,111.057949
"P000129",2019,"H0060",71,"retired","web","interviewed",0,,0,0,"not_applicable",76.850161,
"P000130",2019,"H0060",69,"retired","phone","interviewed",0,,0,0,"not_applicable",76.850161,97.767349
"P000001",2020,"H0001",68,"retired","paper","interviewed",0,,0,0,"not_applicable",98.568166,117.60683
"P000002",2020,"H0001",33,"employed","phone","interviewed",0,2280,2280,0,,98.568166,117.60683
"P000003",2020,"H0001",19,"employed","phone","interviewed",0,1020,1020,0,,98.568166,117.60683
"P000004",2020,"H0001",29,"employed","web","interviewed",0,1360,1360,0,,98.568166,117.60683
"P000005",2020,"H0002",56,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",67.081287,80.038189
"P000006",2020,"H0003",66,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",61.688319,73.603557
"P000007",2020,"H0003",22,"education","web","interviewed",0,,0,0,"not_applicable",61.688319,73.603557
"P000008",2020,"H0004",76,"retired","web","interviewed",0,,0,0,"not_applicable",66.85641,79.769877
"P000009",2020,"H0004",49,"employed","web","interviewed",0,3640,3640,0,,66.85641,79.769877
"P000010",2020,"H0004",69,"retired","web","interviewed",0,,0,0,"not_applicable",66.85641,79.769877
"P000011",2020,"H0073",19,"education","web","interviewed",1,,0,0,"not_applicable",82.81635,98.812515
"P000012",2020,"H0005",62,"employed","web","interviewed",0,1460,1460,0,,82.81635,98.812515
"P000013",2020,"H0005",57,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",82.81635,98.812515
"P000014",2020,"H0006",36,"unemployed","phone","interviewed",0,,0,0,"not_applicable",108.939409,129.981301
"P000015",2020,"H0007",70,"retired","paper","interviewed",0,,0,0,"not_applicable",79.381161,94.713811
"P000016",2020,"H0008",22,"education","phone","interviewed",0,,0,0,"not_applicable",68.408683,
"P000017",2020,"H0008",68,"retired","web","interviewed",0,,0,0,"not_applicable",68.408683,81.621975
"P000018",2020,"H0008",64,"unemployed","web","interviewed",0,,0,0,"not_applicable",68.408683,81.621975
"P000019",2020,"H0008",72,"retired","web","interviewed",0,,0,0,"not_applicable",68.408683,81.621975
"P000020",2020,"H0009",22,"education","web","interviewed",0,,0,0,"not_applicable",70.745578,
"P000021",2020,"H0009",77,"retired","phone","interviewed",0,,0,0,"not_applicable",70.745578,84.410246
"P000022",2020,"H0009",48,"employed","web","interviewed",0,2620,2620,0,,70.745578,84.410246
"P000023",2020,"H0009",25,"employed","web","interviewed",0,1860,1860,0,,70.745578,
"P000024",2020,"H0010",37,"unemployed","web","interviewed",0,,0,0,"not_applicable",70.766539,84.435256
"P000025",2020,"H0010",29,"unemployed","web","interviewed",0,,0,0,"not_applicable",70.766539,84.435256
"P000026",2020,"H0010",77,"retired","phone","interviewed",0,,0,0,"not_applicable",70.766539,84.435256
"P000027",2020,"H0010",45,"employed","web","interviewed",0,,1400,1,"no_answer",70.766539,84.435256
"P000028",2020,"H0011",57,"employed","web","interviewed",0,3140,3140,0,,73.099802,87.219194
"P000029",2020,"H0011",32,"employed","web","interviewed",0,5580,5580,0,,73.099802,87.219194
"P000030",2020,"H0012",28,"unemployed","phone","interviewed",0,,0,0,"not_applicable",64.165776,76.55954
"P000031",2020,"H0012",67,"retired","web","interviewed",0,,0,0,"not_applicable",64.165776,
"P000032",2020,"H0013",63,"unemployed","paper","interviewed",0,,0,0,"not_applicable",114.314009,136.394018
"P000033",2020,"H0013",39,"unemployed","web","interviewed",0,,0,0,"not_applicable",114.314009,
"P000034",2020,"H0013",26,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",114.314009,136.394018
"P000035",2020,"H0014",56,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",87.249824,104.102325
"P000036",2020,"H0014",26,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",87.249824,104.102325
"P000038",2020,"H0015",46,"employed","web","interviewed",0,,3140,1,"no_answer",105.188905,125.506379
"P000039",2020,"H0016",46,"employed","web","interviewed",0,1000,1000,0,,110.757965,132.151115
"P000040",2020,"H0017",61,"employed","web","interviewed",0,4840,4840,0,,111.850937,
"P000041",2020,"H0017",69,"retired","phone","interviewed",0,,0,0,"not_applicable",111.850937,133.455198
"P000042",2020,"H0018",62,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",64.494325,76.95155
"P000043",2020,"H0019",19,"employed","web","interviewed",0,2080,2080,0,,78.310035,93.435795
"P000044",2020,"H0019",24,"not_in_labor_force","phone","interviewed",0,,0,0,"not_applicable",78.310035,93.435795
"P000045",2020,"H0019",72,"retired","web","interviewed",0,,0,0,"not_applicable",78.310035,93.435795
"P000046",2020,"H0019",19,"employed","web","interviewed",0,1650,1650,0,,78.310035,93.435795
"P000047",2020,"H0020",79,"retired","web","interviewed",0,,0,0,"not_applicable",67.632217,80.695532
"P000048",2020,"H0020",60,"employed","phone","interviewed",0,3120,3120,0,,67.632217,80.695532
"P000049",2020,"H0021",28,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",65.624987,78.300601
"P000050",2020,"H0022",79,"retired","paper","interviewed",0,,0,0,"not_applicable",74.49677,88.885989
"P000051",2020,"H0022",48,"unemployed","phone","interviewed",0,,0,0,"not_applicable",74.49677,88.885989
"P000052",2020,"H0022",52,"employed","web","interviewed",0,900,900,0,,74.49677,88.885989
"P000053",2020,"H0023",57,"employed","phone","interviewed",0,3190,3190,0,,82.988161,99.017511
"P000054",2020,"H0023",32,"employed","web","interviewed",0,,2240,1,"no_answer",82.988161,99.017511
"P000055",2020,"H0024",61,"employed","web","interviewed",0,2050,2050,0,,114.4391,136.54327
"P000056",2020,"H0024",27,"employed","phone","interviewed",0,1800,1800,0,,114.4391,136.54327
"P000059",2020,"H0025",74,"retired","web","interviewed",0,,0,0,"not_applicable",98.264598,
"P000060",2020,"H0026",25,"employed","phone","interviewed",0,850,850,0,,66.546845,79.400518
"P000061",2020,"H0026",56,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",66.546845,79.400518
"P000063",2020,"H0027",21,"education","phone","interviewed",0,,0,0,"not_applicable",73.042122,87.150373
"P000064",2020,"H0028",31,"employed","phone","interviewed",0,2130,2130,0,,61.775645,73.70775
"P000065",2020,"H0028",54,"unemployed","web","interviewed",0,,0,0,"not_applicable",61.775645,
"P000066",2020,"H0029",32,"employed","web","interviewed",0,1790,1790,0,,78.966918,94.219556
"P000067",2020,"H0029",48,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",78.966918,94.219556
"P000068",2020,"H0030",54,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",68.338997,81.538828
"P000069",2020,"H0030",43,"employed","web","interviewed",0,3710,3710,0,,68.338997,81.538828
"P000070",2020,"H0031",25,"employed","web","interviewed",0,3910,3910,0,,65.485289,78.13392
"P000072",2020,"H0032",79,"retired","web","interviewed",0,,0,0,"not_applicable",77.975879,93.037096
"P000073",2020,"H0032",70,"retired","phone","interviewed",0,,0,0,"not_applicable",77.975879,93.037096
"P000074",2020,"H0033",39,"employed","phone","interviewed",0,1600,1600,0,,92.05912,109.840546
"P000075",2020,"H0034",54,"employed","web","interviewed",0,6160,6160,0,,76.523758,91.304495
"P000076",2020,"H0034",71,"retired","web","interviewed",0,,0,0,"not_applicable",76.523758,91.304495
"P000077",2020,"H0034",21,"employed","web","interviewed",0,2710,2710,0,,76.523758,91.304495
"P000078",2020,"H0034",75,"retired","phone","interviewed",0,,0,0,"not_applicable",76.523758,91.304495
"P000079",2020,"H0035",72,"retired","web","interviewed",0,,0,0,"not_applicable",79.903802,
"P000080",2020,"H0035",38,"employed","phone","interviewed",0,2800,2800,0,,79.903802,95.337402
"P000081",2020,"H0036",78,"retired","web","interviewed",0,,0,0,"not_applicable",81.294961,
"P000082",2020,"H0036",64,"unemployed","web","interviewed",0,,0,0,"not_applicable",81.294961,96.997266
"P000083",2020,"H0036",76,"retired","web","interviewed",0,,0,0,"not_applicable",81.294961,
"P000084",2020,"H0036",27,"unemployed","paper","interviewed",0,,0,0,"not_applicable",81.294961,96.997266
"P000085",2020,"H0037",60,"employed","web","interviewed",0,2240,2240,0,,87.67015,
"P000086",2020,"H0038",25,"employed","web","interviewed",0,2400,2400,0,,104.867984,125.123471
"P000087",2020,"H0038",25,"employed","web","interviewed",0,3310,3310,0,,104.867984,
"P000088",2020,"H0038",33,"employed","web","interviewed",0,,2240,1,"no_answer",104.867984,125.123471
"P000089",2020,"H0038",76,"retired","web","interviewed",0,,0,0,"not_applicable",104.867984,125.123471
"P000090",2020,"H0039",45,"unemployed","web","interviewed",0,,0,0,"not_applicable",78.208301,93.31441
"P000091",2020,"H0040",27,"not_in_labor_force","phone","interviewed",0,,0,0,"not_applicable",100.796677,
"P000092",2020,"H0040",67,"retired","web","interviewed",0,,0,0,"not_applicable",100.796677,
"P000093",2020,"H0041",73,"retired","web","interviewed",0,,0,0,"not_applicable",108.112512,128.994688
"P000094",2020,"H0041",78,"retired","web","interviewed",0,,0,0,"not_applicable",108.112512,128.994688
"P000095",2020,"H0042",49,"employed","phone","interviewed",0,1240,1240,0,,63.993488,76.353975
"P000096",2020,"H0043",49,"employed","paper","interviewed",0,1430,1430,0,,69.752849,
"P000097",2020,"H0044",30,"not_in_labor_force","phone","interviewed",0,,0,0,"not_applicable",85.558012,102.083735
"P000098",2020,"H0045",29,"employed","web","interviewed",0,3770,3770,0,,100.747663,120.207301
"P000099",2020,"H0045",36,"unemployed","web","interviewed",0,,0,0,"not_applicable",100.747663,120.207301
"P000100",2020,"H0046",60,"employed","paper","interviewed",0,1910,1910,0,,94.407295,
"P000101",2020,"H0047",25,"not_in_labor_force","phone","interviewed",0,,0,0,"not_applicable",87.385539,104.264253
"P000102",2020,"H0047",78,"retired","paper","interviewed",0,,0,0,"not_applicable",87.385539,104.264253
"P000103",2020,"H0048",30,"employed","web","interviewed",0,880,880,0,,110.888723,132.30713
"P000104",2020,"H0048",53,"unemployed","phone","interviewed",0,,0,0,"not_applicable",110.888723,132.30713
"P000106",2020,"H0049",64,"employed","web","interviewed",0,2010,2010,0,,93.731074,111.835442
"P000107",2020,"H0050",66,"unemployed","web","interviewed",0,,0,0,"not_applicable",78.687043,93.885623
"P000108",2020,"H0050",76,"retired","phone","interviewed",0,,0,0,"not_applicable",78.687043,93.885623
"P000109",2020,"H0051",27,"employed","web","interviewed",0,2700,2700,0,,61.968081,73.937356
"P000110",2020,"H0051",45,"employed","paper","interviewed",0,5940,5940,0,,61.968081,73.937356
"P000111",2020,"H0051",25,"unemployed","phone","interviewed",0,,0,0,"not_applicable",61.968081,73.937356
"P000112",2020,"H0052",27,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",70.475428,84.087916
"P000114",2020,"H0053",42,"unemployed","paper","interviewed",0,,0,0,"not_applicable",63.99249,76.352784
"P000115",2020,"H0053",69,"retired","web","interviewed",0,,0,0,"not_applicable",63.99249,76.352784
"P000116",2020,"H0054",62,"not_in_labor_force","paper","interviewed",0,,0,0,"not_applicable",75.168421,89.687371
"P000117",2020,"H0055",34,"employed","phone","interviewed",0,1460,1460,0,,93.402831,111.443799
"P000118",2020,"H0055",55,"employed","web","interviewed",0,840,840,0,,93.402831,111.443799
"P000119",2020,"H0056",40,"employed","web","interviewed",0,3410,3410,0,,61.334807,73.181764
"P000120",2020,"H0056",44,"unemployed","paper","interviewed",0,,0,0,"not_applicable",61.334807,73.181764
"P000121",2020,"H0056",71,"retired","phone","interviewed",0,,0,0,"not_applicable",61.334807,73.181764
"P000122",2020,"H0057",70,"retired","web","interviewed",0,,0,0,"not_applicable",108.572383,129.543384
"P000123",2020,"H0058",41,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",75.843428,
"P000124",2020,"H0058",67,"retired","web","interviewed",0,,0,0,"not_applicable",75.843428,90.492757
"P000126",2020,"H0058",46,"not_in_labor_force","phone","interviewed",0,,0,0,"not_applicable",75.843428,90.492757
"P000127",2020,"H0059",42,"employed","phone","interviewed",0,2560,2560,0,,93.079444,111.057949
"P000128",2020,"H0059",51,"unemployed","web","interviewed",0,,0,0,"not_applicable",93.079444,111.057949
"P000129",2020,"H0060",72,"retired","web","interviewed",0,,0,0,"not_applicable",81.94038,
"P000130",2020,"H0060",70,"retired","web","interviewed",0,,0,0,"not_applicable",81.94038,97.767349
"P000001",2021,"H0001",69,"retired","paper","interviewed",0,,0,0,"not_applicable",89.178618,117.60683
"P000002",2021,"H0001",34,"employed","phone","interviewed",0,1830,1830,0,,89.178618,117.60683
"P000003",2021,"H0001",20,"employed","phone","interviewed",0,810,810,0,,89.178618,117.60683
"P000004",2021,"H0001",30,"employed","web","interviewed",0,1100,1100,0,,89.178618,117.60683
"P000005",2021,"H0002",57,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",60.691162,80.038189
"P000006",2021,"H0003",67,"retired","web","interviewed",0,,0,0,"not_applicable",55.811924,73.603557
"P000007",2021,"H0003",23,"education","web","interviewed",0,,0,0,"not_applicable",55.811924,73.603557
"P000008",2021,"H0004",77,"retired","web","interviewed",0,,0,0,"not_applicable",60.487706,79.769877
"P000009",2021,"H0004",50,"employed","web","interviewed",0,4330,4330,0,,60.487706,79.769877
"P000010",2021,"H0004",70,"retired","web","interviewed",0,,0,0,"not_applicable",60.487706,79.769877
"P000011",2021,"H0073",20,"education","web","interviewed",0,,0,0,"not_applicable",74.927311,98.812515
"P000012",2021,"H0005",63,"employed","web","interviewed",0,2750,2750,0,,74.927311,98.812515
"P000013",2021,"H0005",58,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",74.927311,98.812515
"P000014",2021,"H0006",37,"unemployed","phone","interviewed",0,,0,0,"not_applicable",98.561902,129.981301
"P000015",2021,"H0007",71,"retired","paper","interviewed",0,,0,0,"not_applicable",71.819356,94.713811
"P000016",2021,"H0008",23,"education","phone","interviewed",0,,0,0,"not_applicable",61.892111,
"P000017",2021,"H0008",69,"retired","web","interviewed",0,,0,0,"not_applicable",61.892111,81.621975
"P000018",2021,"H0008",65,"unemployed","web","interviewed",0,,0,0,"not_applicable",61.892111,81.621975
"P000019",2021,"H0008",73,"retired","web","interviewed",0,,0,0,"not_applicable",61.892111,81.621975
"P000020",2021,"H0009",23,"education","web","interviewed",0,,0,0,"not_applicable",64.006394,
"P000021",2021,"H0009",78,"retired","web","interviewed",0,,0,0,"not_applicable",64.006394,84.410246
"P000022",2021,"H0009",49,"employed","web","interviewed",0,,1500,1,"no_answer",64.006394,84.410246
"P000023",2021,"H0009",26,"employed","web","interviewed",0,1460,1460,0,,64.006394,
"P000024",2021,"H0010",38,"unemployed","web","interviewed",0,,0,0,"not_applicable",64.025358,84.435256
"P000025",2021,"H0074",30,"unemployed","web","interviewed",1,,0,0,"not_applicable",64.025358,84.435256
"P000026",2021,"H0010",78,"retired","phone","interviewed",0,,0,0,"not_applicable",64.025358,84.435256
"P000027",2021,"H0010",46,"employed","web","interviewed",0,2840,2840,0,,64.025358,84.435256
